WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,QUALIFIER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,DEPTH_IN_METERS,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
Barton Creek,7/29/05 12:45,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,2,(%) Percent,Total,,46,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",517065,30.26978549,-97.97350879,286601,FALSE,
Barton Creek,7/28/05 14:45,Barton Creek @ Paisano Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,0.1,(%) Percent,Total,,47,,LENGTH MEASUREMENT,S,Barton Creek Pool-Algae Data,"(30.2787762970014, -97.9428120293129)",517075,30.2787763,-97.94281203,286603,FALSE,
Barton Creek,5/25/05 9:15,Barton Creek @ Paisano Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,0.5,(%) Percent,Total,,47,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2787762970014, -97.9428120293129)",1128858,30.2787763,-97.94281203,274995,FALSE,
Barton Creek,5/25/05 9:15,Barton Creek @ Paisano Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,2,(%) Percent,Total,,47,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2787762970014, -97.9428120293129)",1128857,30.2787763,-97.94281203,274995,FALSE,
Barton Creek,5/24/05 14:00,Barton Creek @ Ogletree Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,5,(%) Percent,Total,,49,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.3022731006164, -97.868544391745)",486919,30.3022731,-97.86854439,273540,FALSE,
Barton Creek,5/23/05 14:00,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,5,(%) Percent,Total,POOL,46,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",626239,30.26978549,-97.97350879,273536,FALSE,
Barton Creek,5/23/05 14:00,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,13,(%) Percent,Total,POOL,46,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",626238,30.26978549,-97.97350879,273536,FALSE,
Barton Creek,5/23/05 10:30,Barton Creek @ Stark Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,2,(%) Percent,Total,,44,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2449221264486, -98.1256944853527)",641818,30.24492213,-98.12569449,273538,FALSE,
Barton Creek,2/3/05 15:00,Barton Creek @ Leif Johnson Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,2,(%) Percent,Total,,50,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2913642199493, -97.8492467053898)",1192040,30.29136422,-97.84924671,268147,FALSE,
Barton Creek,11/10/04 12:20,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,20,(%) Percent,Total,pool,46,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",1176021,30.26978549,-97.97350879,257529,FALSE,
Barton Creek,11/10/04 12:20,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,5,(%) Percent,Total,pool,46,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",1176022,30.26978549,-97.97350879,257529,FALSE,
Barton Creek,11/10/04 10:00,Barton Creek @ Paisano Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,10,(%) Percent,Total,,47,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2787762970014, -97.9428120293129)",1175956,30.2787763,-97.94281203,257519,FALSE,
Barton Creek,8/2/04 13:00,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,0.7,(%) Percent,Total,pool,46,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",1171962,30.26978549,-97.97350879,249966,FALSE,
Barton Creek,4/22/04 0:00,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Benthic Cover,Algae (filamentous),NITELLA,,0.6,(%) Percent,Total,POOL,48,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2962292409524, -97.9260928438428)",1165279,30.29622924,-97.92609284,249002,TRUE,
Barton Creek,4/22/04 0:00,Barton Creek @ Ogletree Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,6,(%) Percent,Total,,49,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.3022731006164, -97.868544391745)",1165289,30.3022731,-97.86854439,249003,TRUE,
Barton Creek,4/21/04 16:30,Barton Creek Between Dams Upstream of Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,3,(%) Percent,Total,,879,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2636315522417, -97.7724721862967)",1165304,30.26363155,-97.77247219,249004,FALSE,
Barton Creek,1/30/04 10:00,Barton Creek @ Ogletree Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,1,(%) Percent,Total,,49,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.3022731006164, -97.868544391745)",1165173,30.3022731,-97.86854439,248992,FALSE,
Barton Creek,1/30/04 10:00,Barton Creek @ Ogletree Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,1,(%) Percent,Total,,49,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.3022731006164, -97.868544391745)",1165174,30.3022731,-97.86854439,248992,FALSE,
Barton Creek,1/29/04 12:00,Barton Creek @ Leif Johnson Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,3,(%) Percent,Total,,50,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2913642199493, -97.8492467053898)",1165219,30.29136422,-97.84924671,248995,FALSE,
Barton Creek,1/28/04 12:00,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Benthic Cover,Algae (filamentous),CHARA,,1,(%) Percent,Total,pool,48,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2962292409524, -97.9260928438428)",1146972,30.29622924,-97.92609284,240321,FALSE,
Barton Creek,1/28/04 12:00,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Benthic Cover,Algae (filamentous),NITELLA,,3.5,(%) Percent,Total,pool,48,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2962292409524, -97.9260928438428)",1146973,30.29622924,-97.92609284,240321,FALSE,
Barton Creek,10/24/03 13:30,Barton Creek Between Dams Upstream of Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,4,(%) Percent,Total,,879,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2636315522417, -97.7724721862967)",1125425,30.26363155,-97.77247219,228439,FALSE,
Barton Creek,10/23/03 12:30,Barton Creek @ Leif Johnson Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,2,(%) Percent,Total,,50,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2913642199493, -97.8492467053898)",1125411,30.29136422,-97.84924671,228438,FALSE,
Barton Creek,10/23/03 10:00,Barton Creek @ Ogletree Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,8,(%) Percent,Total,,49,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.3022731006164, -97.868544391745)",1125394,30.3022731,-97.86854439,228407,FALSE,
Barton Creek,10/23/03 10:00,Barton Creek @ Ogletree Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,6.6,(%) Percent,Total,,49,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.3022731006164, -97.868544391745)",1125395,30.3022731,-97.86854439,228407,FALSE,
Barton Creek,10/22/03 12:30,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Benthic Cover,Algae (filamentous),NITELLA,,13,(%) Percent,Total,POOL,48,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2962292409524, -97.9260928438428)",1125327,30.29622924,-97.92609284,228401,FALSE,
Barton Creek,10/22/03 10:00,Barton Creek @ Paisano Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,7.5,(%) Percent,Total,,47,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2787762970014, -97.9428120293129)",1125354,30.2787763,-97.94281203,228403,FALSE,
Barton Creek,10/21/03 12:00,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,1.5,(%) Percent,Total,Pool,46,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",1125313,30.26978549,-97.97350879,228400,FALSE,
Barton Creek,10/21/03 12:00,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,6,(%) Percent,Total,Pool,46,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",1125314,30.26978549,-97.97350879,228400,FALSE,
Barton Creek,7/30/03 11:00,Barton Creek @ Recharge Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,1,(%) Percent,Total,,52,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2677173018848, -97.823842120071)",1121269,30.2677173,-97.82384212,226844,FALSE,
Barton Creek,7/29/03 12:30,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,12.5,(%) Percent,Total,POOL,46,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",1121206,30.26978549,-97.97350879,226839,FALSE,
Barton Creek,7/29/03 11:00,Barton Creek @ Paisano Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,7,(%) Percent,Total,,47,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2787762970014, -97.9428120293129)",1121255,30.2787763,-97.94281203,226843,FALSE,
Barton Creek,7/28/03 10:00,Barton Creek @ Ogletree Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,5,(%) Percent,Total,,49,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.3022731006164, -97.868544391745)",1121122,30.3022731,-97.86854439,226832,FALSE,
Barton Creek,7/28/03 10:00,Barton Creek @ Ogletree Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,5,(%) Percent,Total,,49,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.3022731006164, -97.868544391745)",1121123,30.3022731,-97.86854439,226832,FALSE,
Barton Creek,7/25/03 9:00,Barton Creek Between Dams Upstream of Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,2,(%) Percent,Total,riffle,879,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2636315522417, -97.7724721862967)",1121188,30.26363155,-97.77247219,226838,FALSE,
Barton Creek,5/1/03 11:00,Barton Creek @ Recharge Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,2,(%) Percent,Total,,52,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2677173018848, -97.823842120071)",1118990,30.2677173,-97.82384212,225163,FALSE,
Barton Creek,5/1/03 11:00,Barton Creek @ Recharge Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,8,(%) Percent,Total,,52,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2677173018848, -97.823842120071)",1118991,30.2677173,-97.82384212,225163,FALSE,
Barton Creek,4/25/03 10:00,Barton Creek Between Dams Upstream of Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,20,(%) Percent,Total,,879,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2636315522417, -97.7724721862967)",1118850,30.26363155,-97.77247219,225151,FALSE,
Barton Creek,4/25/03 10:00,Barton Creek Between Dams Upstream of Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,5,(%) Percent,Total,,879,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2636315522417, -97.7724721862967)",1118851,30.26363155,-97.77247219,225151,FALSE,
Barton Creek,4/24/03 10:00,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,6,(%) Percent,Total,pool,46,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",1118872,30.26978549,-97.97350879,225153,FALSE,
Barton Creek,4/23/03 0:00,Barton Creek @ Leif Johnson Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,0.25,(%) Percent,Total,,50,,LENGTH MEASUREMENT,S,Barton Creek Pool-Algae Data,"(30.2913642199493, -97.8492467053898)",1118961,30.29136422,-97.84924671,225161,TRUE,
Barton Creek,4/23/03 0:00,Barton Creek @ Leif Johnson Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,1.3,(%) Percent,Total,,50,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2913642199493, -97.8492467053898)",1118962,30.29136422,-97.84924671,225161,TRUE,
Barton Creek,4/22/03 14:17,Barton Creek Downstream of Lost Creek Blvd,Stream,Benthic Cover,Algae (filamentous),NITELLA,,0.4,(%) Percent,Total,pool,51,,LENGTH MEASUREMENT,S,Barton Creek Pool-Algae Data,"(30.2730736469462, -97.8432343429509)",1118886,30.27307365,-97.84323434,225154,FALSE,
Barton Creek,4/22/03 10:15,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Benthic Cover,Algae (filamentous),NITELLA,,0.75,(%) Percent,Total,pool,48,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2962292409524, -97.9260928438428)",1118901,30.29622924,-97.92609284,225155,FALSE,
Barton Creek,1/30/03 0:00,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Benthic Cover,Algae (filamentous),CHARA,,0.7,(%) Percent,Total,POOL,48,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2962292409524, -97.9260928438428)",1108625,30.29622924,-97.92609284,218556,TRUE,
Barton Creek,1/30/03 0:00,Barton Creek @ Leif Johnson Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,4,(%) Percent,Total,,50,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2913642199493, -97.8492467053898)",1108161,30.29136422,-97.84924671,218488,TRUE,
Barton Creek,1/28/03 0:00,Barton Creek Between Dams Upstream of Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,13.5,(%) Percent,Total,RIFFLE,879,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2636315522417, -97.7724721862967)",1108198,30.26363155,-97.77247219,218491,TRUE,
Barton Creek,10/29/02 0:00,Barton Creek Between Dams Upstream of Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,5,(%) Percent,Total,riffle,879,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2636315522417, -97.7724721862967)",1102906,30.26363155,-97.77247219,209855,TRUE,
Barton Creek,5/1/02 12:00,Barton Creek @ Recharge Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,8,(%) Percent,Total,,52,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2677173018848, -97.823842120071)",992675,30.2677173,-97.82384212,193307,FALSE,
Barton Creek,5/1/02 12:00,Barton Creek @ Recharge Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,11,(%) Percent,Total,,52,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2677173018848, -97.823842120071)",992674,30.2677173,-97.82384212,193307,FALSE,
Barton Creek,4/25/02 14:30,Barton Creek Between Dams Upstream of Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,1.5,(%) Percent,Total,,879,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2636315522417, -97.7724721862967)",992689,30.26363155,-97.77247219,193310,FALSE,
Barton Creek,4/25/02 9:15,Barton Creek @ Leif Johnson Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,7,(%) Percent,Total,,50,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2913642199493, -97.8492467053898)",992753,30.29136422,-97.84924671,193315,FALSE,
Barton Creek,4/25/02 9:15,Barton Creek @ Leif Johnson Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,4,(%) Percent,Total,,50,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2913642199493, -97.8492467053898)",992752,30.29136422,-97.84924671,193315,FALSE,
Barton Creek,4/23/02 14:00,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,3,(%) Percent,Total,POOL,46,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",992623,30.26978549,-97.97350879,193303,FALSE,
Barton Creek,4/23/02 10:00,Barton Creek @ Stark Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,6,(%) Percent,Total,,44,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2449221264486, -98.1256944853527)",992633,30.24492213,-98.12569449,193304,FALSE,
Barton Creek,4/23/02 10:00,Barton Creek @ Stark Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,6,(%) Percent,Total,,44,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2449221264486, -98.1256944853527)",1044840,30.24492213,-98.12569449,193304,FALSE,
Barton Creek,4/23/02 9:15,Barton Creek @ Paisano Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,6,(%) Percent,Total,,47,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2787762970014, -97.9428120293129)",992650,30.2787763,-97.94281203,193305,FALSE,
Barton Creek,4/23/02 9:15,Barton Creek @ Paisano Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,1,(%) Percent,Total,,47,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2787762970014, -97.9428120293129)",1071409,30.2787763,-97.94281203,193305,FALSE,
Barton Creek,4/23/02 9:00,Barton Creek @ Fitzhugh Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,3,(%) Percent,Total,,45,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2428251119635, -98.0112817019004)",507119,30.24282511,-98.0112817,193314,FALSE,
Barton Creek,4/23/02 9:00,Barton Creek @ Fitzhugh Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,4,(%) Percent,Total,,45,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2428251119635, -98.0112817019004)",992740,30.24282511,-98.0112817,193314,FALSE,
Barton Creek,4/22/02 9:30,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Benthic Cover,Algae (filamentous),NITELLA,,1,(%) Percent,Total,,48,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2962292409524, -97.9260928438428)",992601,30.29622924,-97.92609284,193301,FALSE,
Barton Creek,10/23/01 0:00,Barton Creek @ Paisano Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,4,(%) Percent,Total,,47,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2787762970014, -97.9428120293129)",975953,30.2787763,-97.94281203,187017,TRUE,
Barton Creek,10/23/01 0:00,Barton Creek @ Paisano Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,10.5,(%) Percent,Total,,47,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2787762970014, -97.9428120293129)",975952,30.2787763,-97.94281203,187017,TRUE,
Barton Creek,10/23/01 0:00,Barton Creek @ Recharge Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,0.5,(%) Percent,Total,,52,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2677173018848, -97.823842120071)",606402,30.2677173,-97.82384212,187024,TRUE,
Barton Creek,10/19/01 0:00,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Benthic Cover,Algae (filamentous),NITELLA,,6.25,(%) Percent,Total,,48,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2962292409524, -97.9260928438428)",976006,30.29622924,-97.92609284,187022,TRUE,
Barton Creek,10/19/01 0:00,Barton Creek @ Leif Johnson Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,31.8,(%) Percent,Total,,50,,LENGTH MEASUREMENT,S,Barton Creek Pool-Algae Data,"(30.2913642199493, -97.8492467053898)",975941,30.29136422,-97.84924671,187016,TRUE,
Barton Creek,10/19/01 0:00,Barton Creek @ Leif Johnson Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,2.7,(%) Percent,Total,,50,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2913642199493, -97.8492467053898)",975940,30.29136422,-97.84924671,187016,TRUE,
Barton Creek,10/19/01 0:00,Barton Creek @ Ogletree Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,1,(%) Percent,Total,,49,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.3022731006164, -97.868544391745)",606400,30.3022731,-97.86854439,187023,TRUE,
Barton Creek,10/19/01 0:00,Barton Creek @ Ogletree Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,6.1,(%) Percent,Total,,49,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.3022731006164, -97.868544391745)",976018,30.3022731,-97.86854439,187023,TRUE,
Barton Creek,10/18/01 0:00,Barton Creek @ Fitzhugh Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,1,(%) Percent,Total,,45,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2428251119635, -98.0112817019004)",975985,30.24282511,-98.0112817,187020,TRUE,
Barton Creek,10/18/01 0:00,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,3.1,(%) Percent,Total,,46,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",975996,30.26978549,-97.97350879,187021,TRUE,
Barton Creek,10/18/01 0:00,Barton Creek @ Shield Ranch Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,6.8,(%) Percent,Total,,46,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2697854884719, -97.9735087865863)",975995,30.26978549,-97.97350879,187021,TRUE,
Barton Creek,7/27/01 0:00,Barton Creek @ Paisano Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,1.7,(%) Percent,Total,,47,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2787762970014, -97.9428120293129)",955147,30.2787763,-97.94281203,121930,TRUE,
Barton Creek,7/26/01 0:00,Barton Creek @ Ogletree Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,2.5,(%) Percent,Total,,49,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.3022731006164, -97.868544391745)",533840,30.3022731,-97.86854439,121926,TRUE,
Barton Creek,7/26/01 0:00,Barton Creek @ Recharge Pool,Stream,Benthic Cover,Algae (filamentous),NITELLA,,14,(%) Percent,Total,,52,,LENGTH MEASUREMENT,U,Barton Creek Pool-Algae Data,"(30.2677173018848, -97.823842120071)",955114,30.2677173,-97.82384212,121927,TRUE,
Barton Creek,7/25/01 0:00,Barton Creek @ Leif Johnson Pool,Stream,Benthic Cover,Algae (filamentous),CHARA,,26,(%) Percent,Total,,50,,LENGTH MEASUREMENT,S,Barton Creek Pool-Algae Data,"(30.2913642199493, -97.8492467053898)",955161,30.29136422,-97.84924671,121931,TRUE,
