WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,QUALIFIER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,DEPTH_IN_METERS,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
Barton Creek,2/7/07 13:10,Upper Barton Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,2.22,MG/L,Total,183-Upper Barton Spring,183,,EPA 300,U,Barton Springs Quarterly,"(30.2635944614644, -97.7737817041223)",1428755,30.26359446,-97.7737817,303318,FALSE,
Barton Creek,2/7/07 13:00,Upper Barton Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,2.23,MG/L,Total,643-Emily Springs,183,,EPA 300,U,Barton Springs Quarterly,"(30.2635944614644, -97.7737817041223)",1323405,30.26359446,-97.7737817,303324,FALSE,Field Replica
Barton Creek,2/7/07 12:45,Barton Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,1.66,MG/L,Total,35-Barton Springs,35,,EPA 300,U,Barton Springs Quarterly,"(30.2635351223695, -97.7709796798271)",1428794,30.26353512,-97.77097968,303314,FALSE,
Barton Creek,2/7/07 12:00,Eliza Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,1.62,MG/L,Total,428-Eliza Springs,428,,EPA 300,U,Barton Springs Quarterly,"(30.2642461579302, -97.7700605859118)",1428721,30.26424616,-97.77006059,303322,FALSE,
Barton Creek,2/7/07 11:00,Backdoor Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,2.8,MG/L,Total,160-Backdoor Springs,160,,EPA 300,U,Barton Springs Quarterly,"(30.2594932474744, -97.8237008852486)",1428772,30.25949325,-97.82370089,303316,FALSE,
Barton Creek,1/30/07 16:15,Barton Creek Downstream of Barton Spring Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,1.69,MG/L,Total,178-Barton Below Pool,178,,EPA 300,U,Barton Creek Pool Study,"(30.2640835814403, -97.768670814505)",1429189,30.26408358,-97.76867081,301244,FALSE,
Barton Creek,1/30/07 15:40,Barton Creek Between Dams Upstream of Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,1.55,MG/L,Total,879-Barton B/N Dams Abv Pool,879,,EPA 300,U,Barton Creek Pool Study,"(30.2636315522417, -97.7724721862967)",1429170,30.26363155,-97.77247219,301250,FALSE,
Barton Creek,1/30/07 15:30,Barton Creek Between Dams Upstream of Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,1.55,MG/L,Total,2974-Barton @ Upper Barton,879,,EPA 300,U,Barton Creek Pool Study,"(30.2636315522417, -97.7724721862967)",1429163,30.26363155,-97.77247219,301252,FALSE,Field Replica
Barton Creek,1/30/07 15:00,Barton Creek @ Campbells Hole Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.971,MG/L,Total,219-Barton @ Campbells Hole,219,,EPA 300,U,Barton Creek Pool Study,"(30.2598215496528, -97.7847075791533)",1429183,30.25982155,-97.78470758,301246,FALSE,
Barton Creek,1/30/07 14:30,Barton Creek @ Loop 360 (USGS),Stream,Surface Water,Nutrients,NITRATE AS N,,1.01,MG/L,Total,599-Barton @ Loop 360,599,,EPA 300,U,Barton Creek Pool Study,"(30.24469235357, -97.8023393222609)",1429176,30.24469235,-97.80233932,301248,FALSE,
Barton Creek,1/30/07 13:55,Barton Creek Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,1.02,MG/L,Total,51-Barton @ Lost Crk,51,,EPA 300,U,Barton Creek Pool Study,"(30.2730736469462, -97.8432343429509)",1429196,30.27307365,-97.84323434,301240,FALSE,
Barton Creek,1/30/07 13:20,Barton Creek @ Leif Johnson Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.757,MG/L,Total,50-Barton @ Leif Johnson,50,,EPA 300,U,Barton Creek Pool Study,"(30.2913642199493, -97.8492467053898)",1429202,30.29136422,-97.84924671,301238,FALSE,
Barton Creek,1/30/07 12:45,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Nutrients,NITRATE AS N,,0.533,MG/L,Total,48-Barton @ Hwy 71 Blw Barton,48,,EPA 300,U,Barton Creek Pool Study,"(30.2962292409524, -97.9260928438428)",1429209,30.29622924,-97.92609284,301234,FALSE,
Barton Creek,1/30/07 11:25,Barton Creek @ Shield Ranch Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.563,MG/L,Total,46-Barton @ Shield,46,,EPA 300,U,Barton Creek Pool Study,"(30.2697854884719, -97.9735087865863)",1429221,30.26978549,-97.97350879,301230,FALSE,
Barton Creek,1/30/07 10:30,Barton Creek @ Stark Pool,Stream,Surface Water,Nutrients,NITRATE AS N,<J,0.003,MG/L,Total,44-Barton @ Stark,44,,EPA 300,U,Barton Creek Pool Study,"(30.2449221264486, -98.1256944853527)",1429234,30.24492213,-98.12569449,301226,FALSE,
Barton Creek,1/30/07 10:00,Barton Creek @ Fitzhugh Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,1.22,MG/L,Total,45-Barton @ Fitzhugh,45,,EPA 300,U,Barton Creek Pool Study,"(30.2428251119635, -98.0112817019004)",1429228,30.24282511,-98.0112817,301228,FALSE,
Barton Creek,1/30/07 9:20,Barton Creek @ Paisano Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.55,MG/L,Total,47-Barton @ Paisano,47,,EPA 300,U,Barton Creek Pool Study,"(30.2787762970014, -97.9428120293129)",1429215,30.2787763,-97.94281203,301232,FALSE,
Barton Creek,1/10/07 13:55,Barton Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,1.79,MG/L,Total,35-Barton Springs,35,,EPA 300,U,Barton Springs TPDES,"(30.2635351223695, -97.7709796798271)",1323178,30.26353512,-97.77097968,303327,FALSE,
Barton Creek,12/27/06 10:05,Eliza Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,1.51,MG/L,Total,428-Eliza Springs,428,,EPA 300,U,Barton Springs TPDES,"(30.2642461579302, -97.7700605859118)",1429262,30.26424616,-97.77006059,300548,FALSE,
Barton Creek,12/27/06 9:45,Old Mill (Sunken Gardens) Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,1.17,MG/L,Total,422-Old Mill Springs,422,,EPA 300,U,Barton Springs TPDES,"(30.2635848609854, -97.7680757366172)",1429267,30.26358486,-97.76807574,300546,FALSE,
Barton Creek,12/27/06 9:30,Barton Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,1.52,MG/L,Total,35-Barton Springs,35,,EPA 300,U,Barton Springs TPDES,"(30.2635351223695, -97.7709796798271)",1429271,30.26353512,-97.77097968,300544,FALSE,
Barton Creek,11/29/06 15:30,Barton Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,1.48,MG/L,Total,35-Barton Springs,35,,EPA 300,U,Barton Springs TPDES,"(30.2635351223695, -97.7709796798271)",1413208,30.26353512,-97.77097968,300442,FALSE,
Barton Creek,11/29/06 10:30,Barton Creek Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.43,MG/L,Total,2974 Barton at Upper Barton,51,,INQUEST NO3 SCREENING,R,Environmental Integrity Index (EII),"(30.2730736469462, -97.8432343429509)",1411648,30.27307365,-97.84323434,300361,FALSE,Field Replica
Barton Creek,11/29/06 10:30,Barton Creek Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.45,MG/L,Total,,51,,INQUEST NO3 SCREENING,R,Environmental Integrity Index (EII),"(30.2730736469462, -97.8432343429509)",1411674,30.27307365,-97.84323434,300341,FALSE,
Barton Creek,11/29/06 9:30,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Nutrients,NITRATE AS N,,0.19,MG/L,Total,,48,,INQUEST NO3 SCREENING,R,Environmental Integrity Index (EII),"(30.2962292409524, -97.9260928438428)",1411682,30.29622924,-97.92609284,300338,FALSE,
Barton Creek,8/23/06 11:10,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Nutrients,NITRATE AS N,,0.02,MG/L,Total,,48,,INQUEST NO3 SCREENING,R,Environmental Integrity Index (EII),"(30.2962292409524, -97.9260928438428)",1389719,30.29622924,-97.92609284,297936,FALSE,
Barton Creek,8/23/06 10:30,Barton Creek @ Ogletree Pool,Stream,Surface Water,Nutrients,NITRATE AS N,<,0.02,MG/L,Total,,49,,INQUEST NO3 SCREENING,R,Environmental Integrity Index (EII),"(30.3022731006164, -97.868544391745)",1389822,30.3022731,-97.86854439,297939,FALSE,
Barton Creek,8/23/06 9:55,Barton Creek Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.17,MG/L,Total,Barton @ Upper Barton #2974,51,,INQUEST NO3 SCREENING,R,Environmental Integrity Index (EII),"(30.2730736469462, -97.8432343429509)",1389811,30.27307365,-97.84323434,297956,FALSE,Field Replica
Barton Creek,8/23/06 9:45,Barton Creek Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.22,MG/L,Total,,51,,INQUEST NO3 SCREENING,R,Environmental Integrity Index (EII),"(30.2730736469462, -97.8432343429509)",1399533,30.27307365,-97.84323434,297942,FALSE,
Barton Creek,5/18/06 12:15,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Nutrients,NITRATE AS N,,0.09,MG/L,Total,,48,,INQUEST NO3 SCREENING,R,Environmental Integrity Index (EII),"(30.2962292409524, -97.9260928438428)",1364589,30.29622924,-97.92609284,294799,FALSE,
Barton Creek,5/18/06 11:20,Barton Creek Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.71,MG/L,Total,,51,,INQUEST NO3 SCREENING,R,Environmental Integrity Index (EII),"(30.2730736469462, -97.8432343429509)",1364585,30.27307365,-97.84323434,294801,FALSE,
Barton Creek,5/18/06 10:00,Barton Creek Between Dams Upstream of Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.14,MG/L,Total,,879,,INQUEST NO3 SCREENING,R,Environmental Integrity Index (EII),"(30.2636315522417, -97.7724721862967)",1364566,30.26363155,-97.77247219,294806,FALSE,
Barton Creek,5/18/06 10:00,Barton Creek Between Dams Upstream of Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.17,MG/L,Total,,879,,INQUEST NO3 SCREENING,R,Environmental Integrity Index (EII),"(30.2636315522417, -97.7724721862967)",1364559,30.26363155,-97.77247219,294808,FALSE,Field Replica
Barton Creek,2/22/06 10:15,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Nutrients,NITRATE AS N,,0.07,MG/L,Total,,48,,INQUEST NO3 SCREENING,U,Environmental Integrity Index (EII),"(30.2962292409524, -97.9260928438428)",1338474,30.29622924,-97.92609284,289797,FALSE,
Barton Creek,2/22/06 10:15,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Nutrients,NITRATE AS N,,0.08,MG/L,Total,,48,,INQUEST NO3 SCREENING,U,Environmental Integrity Index (EII),"(30.2962292409524, -97.9260928438428)",1338470,30.29622924,-97.92609284,289796,FALSE,Field Replica
Barton Creek,2/22/06 10:00,Barton Creek @ Ogletree Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.08,MG/L,Total,,49,,INQUEST NO3 SCREENING,U,Environmental Integrity Index (EII),"(30.3022731006164, -97.868544391745)",1338665,30.3022731,-97.86854439,289824,FALSE,
Barton Creek,2/22/06 9:00,Barton Creek Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.31,MG/L,Total,,51,,INQUEST NO3 SCREENING,U,Environmental Integrity Index (EII),"(30.2730736469462, -97.8432343429509)",1338701,30.27307365,-97.84323434,289813,FALSE,
Barton Creek,12/3/03 10:07,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Nutrients,NITRATE AS N,,0.09,MG/L,Total,,48,,INQUEST NO3 SCREENING,J,Environmental Integrity Index (EII),"(30.2962292409524, -97.9260928438428)",1127457,30.29622924,-97.92609284,233261,FALSE,
Barton Creek,12/3/03 9:40,Barton Creek @ Ogletree Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.08,MG/L,Total,,49,,INQUEST NO3 SCREENING,J,Environmental Integrity Index (EII),"(30.3022731006164, -97.868544391745)",1127463,30.3022731,-97.86854439,233265,FALSE,
Barton Creek,12/3/03 8:55,Barton Creek 350m Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.31,MG/L,Total,,88,,INQUEST NO3 SCREENING,J,Environmental Integrity Index (EII),"(30.2739982755654, -97.8417053800338)",1269860,30.27399828,-97.84170538,233266,FALSE,Field Replica
Barton Creek,12/3/03 8:55,Barton Creek 350m Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.51,MG/L,Total,,88,,INQUEST NO3 SCREENING,J,Environmental Integrity Index (EII),"(30.2739982755654, -97.8417053800338)",1127464,30.27399828,-97.84170538,233268,FALSE,
Barton Creek,9/23/03 10:50,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Nutrients,NITRATE AS N,,0.04,MG/L,Total,,48,,INQUEST NO3 SCREENING,J,Environmental Integrity Index (EII),"(30.2962292409524, -97.9260928438428)",1124358,30.29622924,-97.92609284,228132,FALSE,
Barton Creek,9/23/03 10:25,Barton Creek @ Ogletree Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.03,MG/L,Total,,49,,INQUEST NO3 SCREENING,J,Environmental Integrity Index (EII),"(30.3022731006164, -97.868544391745)",1124265,30.3022731,-97.86854439,228109,FALSE,
Barton Creek,9/23/03 9:50,Barton Creek 350m Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.22,MG/L,Total,,88,,INQUEST NO3 SCREENING,J,Environmental Integrity Index (EII),"(30.2739982755654, -97.8417053800338)",1124314,30.27399828,-97.84170538,228121,FALSE,
Barton Creek,9/23/03 9:10,Barton Creek Between Dams Upstream of Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,1.09,MG/L,Total,,879,,INQUEST NO3 SCREENING,J,Environmental Integrity Index (EII),"(30.2636315522417, -97.7724721862967)",1124350,30.26363155,-97.77247219,228130,FALSE,Field Replica
Barton Creek,9/23/03 9:10,Barton Creek Between Dams Upstream of Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,1.55,MG/L,Total,,879,,INQUEST NO3 SCREENING,J,Environmental Integrity Index (EII),"(30.2636315522417, -97.7724721862967)",1124202,30.26363155,-97.77247219,228093,FALSE,
Barton Creek,4/19/99 11:00,Stark Tributary @ Barton Creek (STT),Stream,Surface Water,Nutrients,NITRATE AS N,<,0.03,MG/L,Total,STARK TRIB-19APR9-1,276,,EPA 353.2,U,Canyon Study,"(30.2443923213569, -98.1244744331061)",566369,30.24439232,-98.12447443,78145,FALSE,
Barton Creek,5/14/03 10:45,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Nutrients,NITRATE AS N,,0.02,MG/L,Total,,48,,INQUEST NO3 SCREENING,J,Environmental Integrity Index (EII),"(30.2962292409524, -97.9260928438428)",1280272,30.29622924,-97.92609284,226338,FALSE,
Barton Creek,5/14/03 10:15,Barton Creek @ Ogletree Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.04,MG/L,Total,,49,,INQUEST NO3 SCREENING,J,Environmental Integrity Index (EII),"(30.3022731006164, -97.868544391745)",1119748,30.3022731,-97.86854439,226337,FALSE,
Barton Creek,5/14/03 9:30,Barton Creek 350m Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.07,MG/L,Total,,88,,INQUEST NO3 SCREENING,J,Environmental Integrity Index (EII),"(30.2739982755654, -97.8417053800338)",1119789,30.27399828,-97.84170538,226389,FALSE,
Barton Creek,5/14/03 9:00,Barton Creek Between Dams Upstream of Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.85,MG/L,Total,,879,,INQUEST NO3 SCREENING,J,Environmental Integrity Index (EII),"(30.2636315522417, -97.7724721862967)",1280095,30.26363155,-97.77247219,226384,FALSE,
Barton Creek,2/19/03 9:50,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Nutrients,NITRATE AS N,,0.08,MG/L,Total,,48,,INQUEST NO3 SCREENING,U,Environmental Integrity Index (EII),"(30.2962292409524, -97.9260928438428)",1109227,30.29622924,-97.92609284,218707,FALSE,
Barton Creek,2/19/03 9:30,Barton Creek @ Ogletree Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.16,MG/L,Total,,49,,INQUEST NO3 SCREENING,U,Environmental Integrity Index (EII),"(30.3022731006164, -97.868544391745)",1109214,30.3022731,-97.86854439,218705,FALSE,
Barton Creek,2/19/03 9:00,Barton Creek 350m Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.28,MG/L,Total,,88,,INQUEST NO3 SCREENING,U,Environmental Integrity Index (EII),"(30.2739982755654, -97.8417053800338)",1109205,30.27399828,-97.84170538,218703,FALSE,
Barton Creek,2/19/03 8:25,Barton Creek Between Dams Upstream of Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.31,MG/L,Total,,879,,INQUEST NO3 SCREENING,U,Environmental Integrity Index (EII),"(30.2636315522417, -97.7724721862967)",1109188,30.26363155,-97.77247219,218700,FALSE,
Barton Creek,2/22/02 14:20,Upper Barton Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,2.21,MG/L,Total,Upper Barton Springs #183,183,,EPA 300,J,Groundwater,"(30.2635944614644, -97.7737817041223)",986347,30.26359446,-97.7737817,191362,FALSE,
Barton Creek,12/7/00 9:20,Barton Creek Upstream of Barton Spring Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.64,MG/L,Total,,53,,INQUEST NO3 SCREENING,U,Water Watch Dog,"(30.2636372560231, -97.7730328352912)",750539,30.26363726,-97.77303284,94311,FALSE,
Barton Creek,12/7/00 8:50,Barton Creek 350m Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.29,MG/L,Total,,88,,INQUEST NO3 SCREENING,U,Water Watch Dog,"(30.2739982755654, -97.8417053800338)",750531,30.27399828,-97.84170538,94309,FALSE,
Barton Creek,12/7/00 8:10,Barton Creek @ Hwy 71 us Little Barton (BC0),Stream,Surface Water,Nutrients,NITRATE AS N,,0.09,MG/L,Total,,78,,INQUEST NO3 SCREENING,U,Water Watch Dog,"(30.2947831486892, -97.926965322383)",750523,30.29478315,-97.92696532,94307,FALSE,
Barton Creek,11/2/00 9:10,Barton Creek @ Ogletree Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.07,MG/L,Total,,49,,INQUEST NO3 SCREENING,U,Water Watch Dog,"(30.3022731006164, -97.868544391745)",740164,30.3022731,-97.86854439,92148,FALSE,
Barton Creek,11/2/00 0:00,Barton Creek 350m Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.31,MG/L,Total,,88,,INQUEST NO3 SCREENING,U,Water Watch Dog,"(30.2739982755654, -97.8417053800338)",740171,30.27399828,-97.84170538,92149,TRUE,
Barton Creek,8/4/00 9:00,Barton Creek 350m Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.21,MG/L,Total,,88,,INQUEST NO3 SCREENING,U,Water Watch Dog,"(30.2739982755654, -97.8417053800338)",485274,30.27399828,-97.84170538,87255,FALSE,
Barton Creek,6/16/00 10:35,Barton Creek @ Ogletree Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.11,MG/L,Total,,49,,INQUEST NO3 SCREENING,U,Water Watch Dog,"(30.3022731006164, -97.868544391745)",484098,30.3022731,-97.86854439,83632,FALSE,
Barton Creek,6/16/00 10:05,Barton Creek 350m Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.1,MG/L,Total,,88,,INQUEST NO3 SCREENING,U,Water Watch Dog,"(30.2739982755654, -97.8417053800338)",484105,30.27399828,-97.84170538,83633,FALSE,
Barton Creek,5/4/00 9:40,Barton Creek 350m Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,<,0.06,MG/L,Total,,88,,INQUEST NO3 SCREENING,U,Water Watch Dog,"(30.2739982755654, -97.8417053800338)",483956,30.27399828,-97.84170538,83324,FALSE,
Barton Creek,5/4/00 9:15,Barton Creek @ Ogletree Pool,Stream,Surface Water,Nutrients,NITRATE AS N,<,0.06,MG/L,Total,,49,,INQUEST NO3 SCREENING,U,Water Watch Dog,"(30.3022731006164, -97.868544391745)",483965,30.3022731,-97.86854439,83326,FALSE,
Barton Creek,4/7/00 9:35,Barton Creek 350m Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,<,0.06,MG/L,Total,,88,,INQUEST NO3 SCREENING,U,Water Watch Dog,"(30.2739982755654, -97.8417053800338)",482425,30.27399828,-97.84170538,82966,FALSE,
Barton Creek,4/7/00 9:00,Barton Creek @ Ogletree Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.12,MG/L,Total,,49,,INQUEST NO3 SCREENING,U,Water Watch Dog,"(30.3022731006164, -97.868544391745)",482416,30.3022731,-97.86854439,82964,FALSE,
Barton Creek,2/4/00 9:40,Barton Creek 350m Downstream of Lost Creek Blvd,Stream,Surface Water,Nutrients,NITRATE AS N,,0.45,MG/L,Total,,88,,INQUEST NO3 SCREENING,U,Water Watch Dog,"(30.2739982755654, -97.8417053800338)",480284,30.27399828,-97.84170538,82407,FALSE,
Barton Creek,2/4/00 9:15,Barton Creek @ Leif Johnson Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.08,MG/L,Total,,50,,INQUEST NO3 SCREENING,U,Water Watch Dog,"(30.2913642199493, -97.8492467053898)",480277,30.29136422,-97.84924671,82405,FALSE,
Barton Creek,2/4/00 9:15,Barton Creek @ Ogletree Pool,Stream,Surface Water,Nutrients,NITRATE AS N,,0.08,MG/L,Total,,49,,INQUEST NO3 SCREENING,U,Water Watch Dog,"(30.3022731006164, -97.868544391745)",1041813,30.3022731,-97.86854439,111699,FALSE,
Barton Creek,8/2/99 10:30,Fazio Tributary @ Barton Creek,Stream,Surface Water,Nutrients,NITRATE AS N,,0.33,MG/L,Total,66FAZIO-2AUG9-1,66,,EPA 353.2,U,Canyon Study,"(30.2941033376884, -97.852503987716)",1012442,30.29410334,-97.85250399,78315,FALSE,
Barton Creek,8/2/99 9:55,Rob Roy Tributary @ Barton Creek,Stream,Surface Water,Nutrients,NITRATE AS N,,0.11,MG/L,Total,102ROBROY-2AUG9-1,102,,EPA 353.2,U,Canyon Study,"(30.2959369343858, -97.8517500864118)",1017462,30.29593693,-97.85175009,78766,FALSE,
Barton Creek,7/15/99 16:35,POD 9 Tributary @ Barton Creek,Stream,Surface Water,Nutrients,NITRATE AS N,,0.03,MG/L,Total,101POD9-15JUL9-1,101,,EPA 353.2,U,Canyon Study,"(30.3005061195565, -97.8646181177308)",566056,30.30050612,-97.86461812,78275,FALSE,
Barton Creek,7/15/99 14:00,Headquarters Tributary @ Barton Creek,Stream,Surface Water,Nutrients,NITRATE AS N,<,0.03,MG/L,Total,1146TNCHQS-15JUL9-1,1146,,EPA 353.2,U,Canyon Study,"(30.3046812650162, -97.9143982181204)",566052,30.30468127,-97.91439822,78276,FALSE,
Barton Creek,7/15/99 13:50,Barton Scenic Bluff Spring,Spring,Ground Water,Nutrients,NITRATE AS N,,0.64,MG/L,Total,578SCSPG-15JUL9-1,578,,EPA 353.2,U,Groundwater,"(30.3033884844776, -97.8888742486095)",566059,30.30338848,-97.88887425,78277,FALSE,
Barton Creek,7/15/99 13:15,Barton Creek West Tributary 1 @ Barton Creek (BCW),Stream,Surface Water,Nutrients,NITRATE AS N,,0.15,MG/L,Total,99BCW-15JUL9-1,99,,EPA 353.2,U,Canyon Study,"(30.2957521353367, -97.8813027566775)",1054789,30.29575214,-97.88130276,78965,FALSE,
