WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,QUALIFIER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,DEPTH_IN_METERS,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
Barton Creek,1/22/13 11:15,Barton Creek @ Shield Ranch Pool,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,1,MPN/100ML,Total,46-BAR @ Shield,46,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2697854884719, -97.9735087865863)",1985753,30.26978549,-97.97350879,391516,FALSE,
Barton Creek,1/22/13 10:20,Barton Creek @ Stark Pool,Stream,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,6,MPN/100ML,Total,44-BAR @ Stark,44,,SM 9223 B,U,Environmental Integrity Index (EII),"(30.2449221264486, -98.1256944853527)",1985752,30.24492213,-98.12569449,391513,FALSE,
Barton Creek,12/14/12 0:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,4.2,Colonies/100mL,Total,35 Barton Springs,35,,UNKNOWN,U,Groundwater,"(30.2635351223695, -97.7709796798271)",1986103,30.26353512,-97.77097968,391312,TRUE,
Barton Creek,12/14/12 0:00,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,1,Colonies/100mL,Total,860 BS-D,860,,UNKNOWN,U,Groundwater,"(30.2640070647195, -97.7693825634433)",1985824,30.26400706,-97.76938256,391434,TRUE,
Barton Creek,12/14/12 0:00,Barton Springs Pool @ Northern Steps (BS-S),Spring,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,3.1,Colonies/100mL,Total,3014 BS-S,3014,,UNKNOWN,U,Groundwater,"(30.2638664355279, -97.7707391937394)",1986584,30.26386644,-97.77073919,391000,TRUE,
Barton Creek,12/10/12 0:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,1.5,Colonies/100mL,Total,35 Barton Springs,35,,UNKNOWN,U,Groundwater,"(30.2635351223695, -97.7709796798271)",1986040,30.26353512,-97.77097968,391306,TRUE,
Barton Creek,12/10/12 0:00,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,2,Colonies/100mL,Total,860 BS-D,860,,UNKNOWN,U,Groundwater,"(30.2640070647195, -97.7693825634433)",1986351,30.26400706,-97.76938256,391127,TRUE,
Barton Creek,12/10/12 0:00,Barton Springs Pool @ Northern Steps (BS-S),Spring,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,1,Colonies/100mL,Total,3014 BS-S,3014,,UNKNOWN,U,Groundwater,"(30.2638664355279, -97.7707391937394)",1985782,30.26386644,-97.77073919,391024,TRUE,
Barton Creek,12/6/12 0:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,<,1,Colonies/100mL,Total,35 Barton Springs,35,,UNKNOWN,U,Groundwater,"(30.2635351223695, -97.7709796798271)",1986078,30.26353512,-97.77097968,390946,TRUE,
Barton Creek,12/6/12 0:00,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,1,Colonies/100mL,Total,860 BS-D,860,,UNKNOWN,U,Groundwater,"(30.2640070647195, -97.7693825634433)",1986350,30.26400706,-97.76938256,391126,TRUE,
Barton Creek,12/6/12 0:00,Barton Springs Pool @ Northern Steps (BS-S),Spring,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,<,1,Colonies/100mL,Total,3014 BS-S,3014,,UNKNOWN,U,Groundwater,"(30.2638664355279, -97.7707391937394)",1986463,30.26386644,-97.77073919,390919,TRUE,
Barton Creek,12/3/12 0:00,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,8.6,Colonies/100mL,Total,860 BS-D,860,,UNKNOWN,U,Groundwater,"(30.2640070647195, -97.7693825634433)",1985988,30.26400706,-97.76938256,391449,TRUE,
Barton Creek,12/3/12 0:00,Barton Springs Pool @ Northern Steps (BS-S),Spring,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,10.9,Colonies/100mL,Total,3014 BS-S,3014,,UNKNOWN,U,Groundwater,"(30.2638664355279, -97.7707391937394)",1986589,30.26386644,-97.77073919,391005,TRUE,
Barton Creek,11/29/12 0:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,<,1,Colonies/100mL,Total,35 Barton Springs,35,,UNKNOWN,U,Groundwater,"(30.2635351223695, -97.7709796798271)",1986274,30.26353512,-97.77097968,390968,TRUE,
Barton Creek,11/29/12 0:00,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,<,1,Colonies/100mL,Total,860 BS-D,860,,UNKNOWN,U,Groundwater,"(30.2640070647195, -97.7693825634433)",1986574,30.26400706,-97.76938256,390852,TRUE,
Barton Creek,11/29/12 0:00,Barton Springs Pool @ Northern Steps (BS-S),Spring,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,1,Colonies/100mL,Total,3014 BS-S,3014,,UNKNOWN,U,Groundwater,"(30.2638664355279, -97.7707391937394)",1986637,30.26386644,-97.77073919,390859,TRUE,
Barton Creek,11/27/12 12:00,Backdoor Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,<J,2,MPN/100ML,Total,160-Backdoor Spring,160,,SM 9223 B,U,Barton Springs Quarterly,"(30.2594932474744, -97.8237008852486)",1965941,30.25949325,-97.82370089,390454,FALSE,
Barton Creek,11/27/12 11:10,Old Mill (Sunken Gardens) Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,1,MPN/100ML,Total,422-Old Mill Springs,422,,SM 9223 B,U,Barton Springs Quarterly,"(30.2635848609854, -97.7680757366172)",1965864,30.26358486,-97.76807574,390458,FALSE,
Barton Creek,11/27/12 11:00,Eliza Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,9,MPN/100ML,Total,643-Emily Spring,428,,SM 9223 B,U,Barton Springs Quarterly,"(30.2642461579302, -97.7700605859118)",1965956,30.26424616,-97.77006059,390462,FALSE,Field Replica
Barton Creek,11/27/12 10:40,Eliza Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,14,MPN/100ML,Total,428-Eliza Springs,428,,SM 9223 B,U,Barton Springs Quarterly,"(30.2642461579302, -97.7700605859118)",1965865,30.26424616,-97.77006059,390460,FALSE,
Barton Creek,11/27/12 9:40,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,19,MPN/100ML,Total,35-Barton Spgs,35,,SM 9223 B,U,Barton Springs Quarterly,"(30.2635351223695, -97.7709796798271)",1965866,30.26353512,-97.77097968,390452,FALSE,
Barton Creek,11/26/12 0:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,<,1,Colonies/100mL,Total,35 Barton Springs,35,,UNKNOWN,U,Groundwater,"(30.2635351223695, -97.7709796798271)",1986043,30.26353512,-97.77097968,391367,TRUE,
Barton Creek,11/26/12 0:00,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,1,Colonies/100mL,Total,860 BS-D,860,,UNKNOWN,U,Groundwater,"(30.2640070647195, -97.7693825634433)",1985823,30.26400706,-97.76938256,391433,TRUE,
Barton Creek,11/26/12 0:00,Barton Springs Pool @ Northern Steps (BS-S),Spring,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,1,Colonies/100mL,Total,3014 BS-S,3014,,UNKNOWN,U,Groundwater,"(30.2638664355279, -97.7707391937394)",1986524,30.26386644,-97.77073919,390996,TRUE,
Barton Creek,11/20/12 0:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,2,Colonies/100mL,Total,35 Barton Springs,35,,UNKNOWN,U,Groundwater,"(30.2635351223695, -97.7709796798271)",1985958,30.26353512,-97.77097968,391079,TRUE,
Barton Creek,11/20/12 0:00,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,3.1,Colonies/100mL,Total,860 BS-D,860,,UNKNOWN,U,Groundwater,"(30.2640070647195, -97.7693825634433)",1986353,30.26400706,-97.76938256,391129,TRUE,
Barton Creek,11/20/12 0:00,Barton Springs Pool @ Northern Steps (BS-S),Spring,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,5.2,Colonies/100mL,Total,3014 BS-S,3014,,UNKNOWN,U,Groundwater,"(30.2638664355279, -97.7707391937394)",1986006,30.26386644,-97.77073919,390875,TRUE,
Barton Creek,11/15/12 0:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,<,1,Colonies/100mL,Total,35 Barton Springs,35,,UNKNOWN,U,Groundwater,"(30.2635351223695, -97.7709796798271)",1986042,30.26353512,-97.77097968,391366,TRUE,
Barton Creek,11/15/12 0:00,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,<,1,Colonies/100mL,Total,860 BS-D,860,,UNKNOWN,U,Groundwater,"(30.2640070647195, -97.7693825634433)",1986521,30.26400706,-97.76938256,390993,TRUE,
Barton Creek,11/15/12 0:00,Barton Springs Pool @ Northern Steps (BS-S),Spring,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,1,Colonies/100mL,Total,3014 BS-S,3014,,UNKNOWN,U,Groundwater,"(30.2638664355279, -97.7707391937394)",1986468,30.26386644,-97.77073919,390924,TRUE,
Barton Creek,11/13/12 0:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,20.3,Colonies/100mL,Total,35 Barton Springs,35,,UNKNOWN,U,Groundwater,"(30.2635351223695, -97.7709796798271)",1986361,30.26353512,-97.77097968,391334,TRUE,
Barton Creek,11/13/12 0:00,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,33.2,Colonies/100mL,Total,860 BS-D,860,,UNKNOWN,U,Groundwater,"(30.2640070647195, -97.7693825634433)",1986128,30.26400706,-97.76938256,390828,TRUE,
Barton Creek,11/13/12 0:00,Barton Springs Pool @ Northern Steps (BS-S),Spring,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,18.7,Colonies/100mL,Total,3014 BS-S,3014,,UNKNOWN,U,Groundwater,"(30.2638664355279, -97.7707391937394)",1986644,30.26386644,-97.77073919,391008,TRUE,
Barton Creek,11/8/12 0:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,2.6,Colonies/100mL,Total,35 Barton Springs,35,,UNKNOWN,U,Groundwater,"(30.2635351223695, -97.7709796798271)",1986100,30.26353512,-97.77097968,391309,TRUE,
Barton Creek,11/8/12 0:00,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,8.5,Colonies/100mL,Total,860 BS-D,860,,UNKNOWN,U,Groundwater,"(30.2640070647195, -97.7693825634433)",1986417,30.26400706,-97.76938256,391448,TRUE,
Barton Creek,11/8/12 0:00,Barton Springs Pool @ Northern Steps (BS-S),Spring,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,2,Colonies/100mL,Total,3014 BS-S,3014,,UNKNOWN,U,Groundwater,"(30.2638664355279, -97.7707391937394)",1985839,30.26386644,-97.77073919,390865,TRUE,
Barton Creek,11/5/12 0:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,4.2,Colonies/100mL,Total,35 Barton Springs,35,,UNKNOWN,U,Groundwater,"(30.2635351223695, -97.7709796798271)",1986102,30.26353512,-97.77097968,391311,TRUE,
Barton Creek,11/5/12 0:00,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,3.1,Colonies/100mL,Total,860 BS-D,860,,UNKNOWN,U,Groundwater,"(30.2640070647195, -97.7693825634433)",1985930,30.26400706,-97.76938256,391439,TRUE,
Barton Creek,11/5/12 0:00,Barton Springs Pool @ Northern Steps (BS-S),Spring,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,2,Colonies/100mL,Total,3014 BS-S,3014,,UNKNOWN,U,Groundwater,"(30.2638664355279, -97.7707391937394)",1986713,30.26386644,-97.77073919,390864,TRUE,
Barton Creek,11/2/12 0:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,3.6,Colonies/100mL,Total,35 Barton Springs,35,,UNKNOWN,U,Groundwater,"(30.2635351223695, -97.7709796798271)",1985959,30.26353512,-97.77097968,391080,TRUE,
Barton Creek,11/2/12 0:00,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,3.1,Colonies/100mL,Total,860 BS-D,860,,UNKNOWN,U,Groundwater,"(30.2640070647195, -97.7693825634433)",1985871,30.26400706,-97.76938256,391438,TRUE,
Barton Creek,11/2/12 0:00,Barton Springs Pool @ Northern Steps (BS-S),Spring,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,<,1,Colonies/100mL,Total,3014 BS-S,3014,,UNKNOWN,U,Groundwater,"(30.2638664355279, -97.7707391937394)",1986462,30.26386644,-97.77073919,390918,TRUE,
Barton Creek,10/29/12 0:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,2,Colonies/100mL,Total,35 Barton Springs,35,,UNKNOWN,U,Groundwater,"(30.2635351223695, -97.7709796798271)",1986099,30.26353512,-97.77097968,391308,TRUE,
Barton Creek,10/29/12 0:00,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,3.1,Colonies/100mL,Total,860 BS-D,860,,UNKNOWN,U,Groundwater,"(30.2640070647195, -97.7693825634433)",1985870,30.26400706,-97.76938256,391437,TRUE,
Barton Creek,10/29/12 0:00,Barton Springs Pool @ Northern Steps (BS-S),Spring,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,2,Colonies/100mL,Total,3014 BS-S,3014,,UNKNOWN,U,Groundwater,"(30.2638664355279, -97.7707391937394)",1986526,30.26386644,-97.77073919,390998,TRUE,
Barton Creek,10/25/12 0:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,4.7,Colonies/100mL,Total,35 Barton Springs,35,,UNKNOWN,U,Groundwater,"(30.2635351223695, -97.7709796798271)",1985960,30.26353512,-97.77097968,391081,TRUE,
Barton Creek,10/25/12 0:00,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,13.4,Colonies/100mL,Total,860 BS-D,860,,UNKNOWN,U,Groundwater,"(30.2640070647195, -97.7693825634433)",1985888,30.26400706,-97.76938256,390816,TRUE,
Barton Creek,10/25/12 0:00,Barton Springs Pool @ Northern Steps (BS-S),Spring,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,1,Colonies/100mL,Total,3014 BS-S,3014,,UNKNOWN,U,Groundwater,"(30.2638664355279, -97.7707391937394)",1985793,30.26386644,-97.77073919,391152,TRUE,
Barton Creek,10/22/12 0:00,Barton Spring,Spring,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,17.8,Colonies/100mL,Total,35 Barton Springs,35,,UNKNOWN,U,Groundwater,"(30.2635351223695, -97.7709796798271)",1986024,30.26353512,-97.77097968,391170,TRUE,
Barton Creek,10/22/12 0:00,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Bacteria/Pathogens,E COLI BACTERIA,,5.2,Colonies/100mL,Total,860 BS-D,860,,UNKNOWN,U,Groundwater,"(30.2640070647195, -97.7693825634433)",1986138,30.26400706,-97.76938256,390951,TRUE,
Barton Creek,10/22/12 0:00,Barton Springs Pool @ Northern Steps (BS-S),Spring,Surface Water,Bacteria/Pathogens,E COLI BACTERIA,,5.2,Colonies/100mL,Total,3014 BS-S,3014,,UNKNOWN,U,Groundwater,"(30.2638664355279, -97.7707391937394)",1985952,30.26386644,-97.77073919,390874,TRUE,
