SITE_NAME,M_Result,M_Error,M_WT_Result,M_PH_Result,M_DIS_Result,M_TUR_Result,M_DS_Rain,M_Temp,N,E_std,R2,R22,PARM_INTERCIP,tSTAT_INTERCIP,PARM_WT,tSTAT_WT,PARM_PH,tSTAT_PH,PARM_DIS,tSTAT_DIS,PARM_TUR,tSTAT_TUR,PARM_DS_Rain,tSTAT_DS_Rain,PARM_AMB_TEMP,tSTAT_AMB_TEMP,LAT_DD_WGS84,LON_DD_WGS84
Bee Creek @ Loop 360,68.06190476,-2.47E-14,19.30047619,7.497142857,8.06952381,2.361904762,7.142857143,19.2,21,36.36038413,0.145415033,0.59,116.2095238,0.550817129,3.983002653,0.058158724,-21.66598647,0.219085899,-1.943196939,0.768009257,13.25679792,0.208411209,0.841627612,0.536797265,0.57201241,0.558967772,30.30471181,-97.82497847
Bee Creek @ Road Runner Road,42.47777778,-1.58E-15,20.34111111,7.397222222,8.295555556,1.339444444,5.944444444,16.3,18,28.61258007,0.330271475,0.65,-68.51973374,0.665245742,3.047324749,0.058715459,9.696989084,0.614388449,-8.171653137,0.163982364,9.966502722,0.576864375,0.009927002,0.994560779,1.232298637,0.230874536,30.3066873,-97.80653307
Bull Creek  Upstream of Tributary 7 (Franklin),30.163125,-1.95E-14,19.72975,7.77675,7.4885,8.1885,8.025,17.3,80,26.90033315,0.15301145,0.45,-59.11411921,0.167477626,-1.84326966,0.001922676,12.67702304,0.01499852,0.230885293,0.815231582,-0.124725105,0.524605565,-0.605683115,0.016108986,1.570000786,5.56E-07,30.41900917,-97.81269688
Bull Creek 100 ft Upstream of Loop 360 (S xing),57.58333333,7.11E-15,21.38416667,7.308333333,8.611666667,12.98833333,11.41666667,18.1,12,27.33372701,0.515830902,0.73,-628.1217033,0.315562767,1.010174039,0.903677354,75.12174151,0.237590198,9.602405566,0.417235575,3.211314964,0.523493672,-1.373108454,0.290749326,2.57296049,0.152588471,30.37301031,-97.78466301
Bull Creek 140 ft Upstream of Lakewood Drive,77,-2.19E-14,21.42153846,7.296923077,7.675384615,2.44,14.38461539,12.4,13,26.3274771,0.632256052,0.79,3.701156336,0.98879749,1.494813692,0.624924834,-0.515289614,0.986373805,-0.24174208,0.985848163,-3.345531452,0.807588821,-0.214610395,0.910575909,3.938053753,0.209515877,30.36635806,-97.78650396
Bull Creek 375 ft Upstream of Lakewood Drive,50.33863636,-1.45E-14,19.91136364,7.572727273,7.545681818,5.795,14.45454546,15.7,44,29.54440497,0.167588084,0.26,178.3909276,0.084105615,-1.46436835,0.304732314,-10.66604231,0.341759707,-2.226173212,0.314459027,-0.473228011,0.193962981,-0.696850549,0.024312027,0.643291072,0.185913603,30.3662628,-97.78572306
Bull Creek 600 ft Upstream of Lakewood Drive,46.21428571,-7.11E-15,22.815,7.172857143,7.211428571,6.139285714,15.35714286,13,14,18.04489972,0.776860328,0.98,-208.8754477,0.006726332,0.829083072,0.277626023,33.77840674,0.005189732,-1.298166478,0.425416763,-1.487886033,0.007571959,-1.596971646,0.005672174,2.607638667,0.000788627,30.36700201,-97.7849994
Bull Creek 90 ft Upstream of Lakewood Drive,60.5,5.15E-14,20.690625,7.180625,8.0175,3.428125,15.0625,12.6,16,28.44284842,0.476400829,0.87,-19.47357084,0.889537668,1.412732188,0.349014299,29.71907375,0.172541286,-4.816251764,0.494340114,-16.00985805,0.043380644,-4.297155575,0.01356103,-0.552316242,0.677748012,30.36636996,-97.78668761
Bull Creek @ Bull Creek Dist Park (Lakewood Dr),55.02172414,-3.82E-14,19.92131035,7.597896552,7.842482759,7.241655172,11.69310345,20.1,290,34.25753658,0.192530938,0.34,187.1151113,2.12E-06,0.58937165,0.215475903,-18.37066083,0.000173546,1.337634924,0.062037698,0.673494193,0.000945571,-1.37130143,6.96E-14,-0.38286451,0.068200107,30.3663747,-97.78706492
Bull Creek @ Loop 360 First Crossing,69.27819549,-4.47E-14,20.41112782,7.605300752,7.837631579,7.546917293,10.03007519,16.9,266,33.65334955,0.155698918,0.36,42.53615057,0.246233239,-0.789982769,0.133222101,2.035184481,0.644327846,-0.117753848,0.883895171,0.108259921,0.633537319,-1.071205804,1.67E-05,2.093357975,3.44E-19,30.3716707,-97.78492996
Bull Creek @ Spicewood Springs Crossing 1,35.42045455,-2.76E-14,20.5075,7.588409091,7.877727273,13.17545455,10.59090909,22.1,44,22.25889649,0.221438766,0.39,-7.825992977,0.880463965,1.285459405,0.10828964,4.207343516,0.482379881,-1.445917083,0.380806723,-0.100578965,0.557757457,-1.045913453,0.000801532,0.26800275,0.426445595,30.39034005,-97.77500185
Bull Creek @ St. Edwards Park,12.24210526,-9.91E-15,22.12631579,7.405789474,6.552631579,7.526842105,6.052631579,25.6,19,6.107997773,0.440891588,0.75,33.80979378,0.197861685,-0.67251933,0.59709726,-4.928801007,0.19039132,0.553443739,0.519363496,0.779470538,0.003811814,-1.010969279,0.473336898,1.004274774,0.572541079,30.40468044,-97.78965453
Bull Creek @ St. Edwards Park Upstream of dam,38.88653846,3.01E-15,21.29384615,7.479230769,7.853269231,18.00019231,7.038461539,16.5,52,29.9759048,0.09099443,0.21,-117.3226313,0.088285287,0.379944907,0.651998557,15.27346279,0.074041265,2.680287037,0.081926114,0.324452136,0.215025881,-0.444226506,0.51955212,0.020314443,0.96173636,30.40499162,-97.7935618
Bull Creek Trib 2 Upstream of Stillhouse Trib (EI,48.63809524,-2.03E-15,21.71476191,7.650952381,7.322380952,3.706666667,10.52380952,16.7,21,23.44175723,0.599858596,0.78,-317.3311193,0.068121863,-0.018178924,0.994525038,49.77740419,0.012966212,-3.41795805,0.254065942,0.87216227,0.676088773,-1.450515023,0.02598937,1.64032931,0.167102727,30.38255837,-97.76970084
Bull Creek Upstream of West Bull Creek,65.08125,1.40E-13,20.924375,7.405,8.15375,13.981875,3.4375,20.5,16,29.85200493,0.426886366,0.75,77.0967914,0.929462919,-1.394928356,0.841393772,-20.83131072,0.838792824,8.700679233,0.171980675,1.425373756,0.402636302,3.239482235,0.657455479,3.350960579,0.402977102,30.36010206,-97.78821685
Canyon Creek Spring 1 (Tubb Spring),9.888888889,3.08E-14,21.47333333,7.582777778,7.726666667,15.27444444,11.44444444,20.4,18,12.90189452,0.449431256,0.2,46.73810298,0.553324835,-0.739190696,0.412984102,-3.532697106,0.711667585,-0.209047351,0.910249815,-0.352625475,0.470648867,-0.101336857,0.831075715,0.531098694,0.223354219,30.43153687,-97.81686679
Cold Spring,11.38581818,9.69E-15,20.93327273,7.631272727,7.198363636,5.562727273,9.872727273,21.7,55,20.650408,0.177921162,0.2,29.25255856,0.079614157,0.055029696,0.83867567,-3.219129821,0.168761672,0.23065079,0.632880679,0.046550742,0.620145324,-0.3712553,0.017402478,-0.005365692,0.963147493,30.27962815,-97.7805024
Common Ford Tributary in Common Ford Metro Park,31.34666667,4.17E-13,15.28866667,7.773333333,6.089333333,6.58,8.333333333,18,15,14.7481633,0.757928654,0.75,-463.7005303,0.26066267,2.752554592,0.37737264,64.18664633,0.242888044,-10.02086746,0.14676149,2.108803119,0.221143984,-3.510856534,0.065503273,1.612530119,0.157109883,30.33834518,-97.89050291
Cottonmouth Creek @ Dee Gabriel Collins Rd,41.57857143,5.08E-15,18.09,7.864285714,6.999285714,2.297857143,9.428571429,20.6,14,18.15425215,0.425835314,0.73,0.890604101,0.997475869,2.419526289,0.483616403,-2.188488175,0.952729148,-2.910348585,0.425270007,7.111896379,0.070307975,-1.387618086,0.33387006,1.514078579,0.213304349,30.17211959,-97.70111521
Cuernavaca Creek @ River Hills Road,54.41666667,-1.30E-13,23.59666667,7.808333333,8.083333333,2.425,6.75,16.4,12,11.31613775,0.853147303,0.97,536.4997017,0.024373199,-0.507553285,0.696389407,-53.44408026,0.042368548,-5.325037584,0.070888179,-1.270483463,0.640056256,3.502556868,0.012058219,-1.498932353,0.176926416,30.3393546,-97.8499864
Decker Creek @ Gilbert Rd,26.23333333,-4.26E-14,20.33208333,7.85,8.6125,1.26875,13.41666667,21.7,24,23.65486093,0.41240264,0.38,-103.6187059,0.586849699,-1.827012946,0.209389598,20.42438667,0.371878988,1.275288961,0.23124965,0.682853062,0.909647013,0.18009911,0.776427629,-0.590830325,0.17407328,30.27042222,-97.57981959
Dry Creek (North) @ Mt Bonnel Rd,73.7,3.93E-14,20.83266667,7.485333333,5.270666667,3.435333333,7.533333333,15.9,15,24.11567666,0.534883391,0.74,-110.7286223,0.626958983,8.607656733,0.018544708,0.303350435,0.991363477,-4.316552722,0.212313761,6.727581539,0.374490723,-1.071908603,0.621247888,1.904538843,0.209660359,30.33638799,-97.77642899
Dry Creek @ Pearce Road,31.66875,3.33E-15,15.27375,7.64125,7.7725,1.558125,11.4375,22.6,16,24.14548933,0.340379768,0.3,-269.5637596,0.477858448,2.027368664,0.677219942,42.5211752,0.452877202,-3.113534623,0.594636015,0.89114366,0.967435068,-0.095867089,0.957599871,-1.186736839,0.445439528,30.1648278,-97.61619206
Dry Creek @ Wolf Lane,59.39090909,-6.04E-14,16.46727273,7.661818182,7.037272727,1.846363636,8.272727273,19.6,11,20.04759154,0.567699412,0.74,-570.0273383,0.561942598,1.358134041,0.940196502,96.46614868,0.407741072,-10.67544145,0.327767629,-31.98553041,0.65717839,0.231471766,0.922101139,-1.884484192,0.811780791,30.1721027,-97.54761286
Eliza Spring,18.57287129,1.58E-15,21.69366337,7.506435644,7.046831683,2.094356436,13.26732673,21.8,101,23.89756236,0.05734978,0.16,10.30439353,0.6533201,0.273586255,0.425325508,-1.596486623,0.546064595,1.232734285,0.040844532,0.357920226,0.359987506,-0.241952335,0.007453582,0.047671415,0.76027159,30.26424616,-97.77006059
Fern Gully Spring,4.8125,-2.43E-15,20.211875,7.52125,7.65,18.005,12.5625,19.9,16,1.745650624,0.669818933,0.71,7.449986444,0.775356678,0.154013934,0.431648327,-1.966608749,0.518006494,1.156613362,0.285855342,-0.057215646,0.281064757,-0.026453668,0.871998302,0.071581565,0.573320097,30.42988249,-97.83534279
Gilleland Creek @ FM 969,83.78235294,-2.51E-15,21.10941177,7.871764706,7.695882353,4.842941177,15.70588235,15.3,17,31.86744151,0.139933178,0.56,469.0561914,0.533385467,3.310727624,0.285707841,-60.77838907,0.532040281,4.526996568,0.408567434,3.903026015,0.179559365,-2.85780474,0.115514576,1.220265687,0.464256269,30.25406401,-97.54019484
Gilleland Creek @ FM 973,59.58578947,7.26E-14,22.16105263,7.702105263,8.24631579,7.124210526,12.10526316,21.2,19,31.84136569,0.2575374,0.73,-128.7079323,0.598130824,0.326011532,0.896431112,12.19346985,0.66839319,1.345219739,0.724326514,-1.118292876,0.251714641,3.318696502,0.007141798,1.693427678,0.048911213,30.29721447,-97.56802722
Gilleland Creek @ West Parsons St,74.82727273,-2.94E-14,21.18,7.780909091,8.116363636,6.483636364,10.45454546,18.5,11,12.11906634,0.800784357,0.96,-289.8461479,0.504264063,6.153091834,0.121159005,8.080534927,0.894534976,29.75220798,0.095139427,-1.416247887,0.776533554,-0.169974463,0.907302044,-4.627191307,0.132358825,30.34074192,-97.56516542
Hill Marsh Spring,21.07142857,5.33E-15,20.46428571,7.497857143,6.285,11.40642857,11.42857143,20.2,14,27.39060666,0.209174912,0.27,139.0719332,0.763461511,1.476557713,0.551863562,-19.03604167,0.724597901,-3.248152234,0.688715517,-1.034957428,0.731167893,0.843092352,0.758982344,0.581101105,0.785309834,30.50763736,-97.75507275
Lady Bird Lake @ 1st St (CC),52.32105263,-2.69E-14,20.58236842,7.72131579,6.841447368,2.843421053,11.15789474,22.2,76,27.25073746,0.084659139,0.11,74.5357004,0.341512946,-0.391912332,0.72087334,-1.735478862,0.850956133,-1.133048331,0.410523103,1.050214851,0.392886882,-0.504253766,0.038984599,0.382246937,0.368210653,30.2630556,-97.7475278
Lady Bird Lake @ Basin (AC),24.02367816,-1.31E-14,21.0908046,7.719195402,6.671954023,3.57954023,10.98850575,22,87,23.64301639,0.081890032,0.2,49.67099152,0.317122056,-1.543027126,0.006853315,0.521648619,0.9317278,0.742899083,0.386042208,0.190602963,0.724373421,-0.506860668,0.020642225,-0.236989741,0.327002407,30.24714285,-97.71637617
Lady Bird Lake @ Lamar (DC),60.03571429,3.40E-14,20.05857143,7.72,6.672142857,2.839642857,9.107142857,21.6,28,31.57166665,0.245060994,0.49,313.6960907,0.152113699,-2.285644567,0.348388797,-27.78166559,0.311448346,-3.649025223,0.143223015,-3.546480852,0.535740399,0.949101216,0.221431669,1.336895468,0.102111939,30.26570076,-97.7566068
Lady Bird Lake @ Mopac Bridge,23.24242424,3.10E-14,19.36030303,7.646666667,6.948181818,3.676060606,8.090909091,21.5,33,24.28741284,0.361820582,0.64,390.8521794,0.001048472,-4.468472824,0.000124787,-40.87544222,0.002545503,2.298398252,0.112185773,-1.076728251,0.137269791,0.247696833,0.648039934,0.554792424,0.286229718,30.27366505,-97.77152476
Lady Bird Lake @ Red Bud Isle (EC),14.30828571,-3.90E-14,20.2704,7.685942857,6.906685714,3.590914286,10.2,22.2,175,18.34646301,0.079452753,0.15,55.03442313,0.00065882,-0.228740057,0.233544779,-4.651324312,0.029980154,-0.485155771,0.151469866,0.318685998,0.085144621,-0.195146168,0.003643018,0.016480147,0.865359119,30.28711129,-97.78573004
Lake Creek @ Shadowbrook Club,70.12142857,-6.24E-14,20.36714286,7.63,6.426428571,2.021428571,6.714285714,18,14,26.18416185,0.583008982,0.92,306.7693789,0.201866437,-4.863926334,0.387391409,2.887920803,0.889362359,-17.46807829,0.046217293,-0.432326867,0.968829356,1.178692272,0.483057397,-2.388444609,0.037730458,30.49166824,-97.70699483
Lake Creek @ Sugar Berry Cove,54.23888889,6.71E-15,19.77444444,7.623333333,6.048888889,2.162777778,6.277777778,16,18,33.36505016,0.316675989,0.68,245.0134582,0.328819318,-0.100643731,0.96387674,-46.05191847,0.191113551,18.88851851,0.052402188,5.100793844,0.353677357,-1.110785563,0.509035721,2.623609496,0.107443881,30.51386175,-97.65059471
Lake Creek Downstream of Meadowheath Drive,34.88,7.03E-14,22.19,7.462,6.1825,1.273,8.5,20.8,20,23.25479976,0.315306578,0.4,131.3354083,0.419905327,-0.364112362,0.791551501,-18.13138367,0.360131888,2.352179181,0.669308978,8.872172216,0.299577384,0.342839157,0.704953759,0.714959999,0.367462404,30.46489048,-97.7723456
Little Barton Creek @ Barton Creek (LBC),20.98695652,-2.77E-14,19.11607457,7.356521739,7.357826087,2.73,6.652173913,19.1,23,14.50614372,0.328033891,0.3,147.0821706,0.305633588,-1.252959209,0.369621751,-16.28159364,0.365883794,3.120833451,0.342493285,-0.724885435,0.787698834,-0.821646998,0.216980919,0.06739489,0.887327352,30.29618366,-97.92775105
Little Barton Creek @ Hamilton Pool Rd,38.14444444,5.17E-14,19.4344888,7.525555556,6.844444444,2.533888889,6.833333333,16.9,18,16.77312729,0.672430248,0.85,69.08020036,0.546891723,-0.035210755,0.985117145,-0.83109157,0.943280638,6.440571216,0.211775871,-7.809779072,0.009456644,-1.851011248,0.13917574,-1.904254197,0.031772125,30.3056035,-97.98409427
Little Bear @ Ashmun Property,32.89090909,4.33E-14,22.55576773,7.504545455,6.491818182,1.592727273,8.272727273,18.3,11,10.88837682,0.836928005,0.99,-274.405199,0.139124619,8.548444428,0.075362609,-14.86998227,0.457191797,27.55079317,0.052488106,20.39365807,0.02281349,-2.558934072,0.0516927,1.490671184,0.21776784,30.11231682,-97.95195356
North Boggy Creek @ Delwau Lane,49.69230769,2.90E-14,18.75923077,7.792307692,7.024615385,6.447692308,11.07692308,21,13,15.4853566,0.768549252,0.91,275.1794596,0.18118641,-7.179666283,0.02047486,-5.00470686,0.759837704,-6.553263721,0.683726613,1.963890049,0.631715857,-2.202229635,0.044294214,0.663775703,0.828497582,30.26268881,-97.66878386
Old Mill (Sunken Gardens) Spring,21.22868853,-4.66E-15,22.65688525,7.538360656,6.993934426,2.902295082,10,21.9,61,30.31337973,0.13640814,0.19,-9.565471221,0.826297513,0.910748477,0.215157074,1.164672063,0.813251517,0.688743747,0.496207,-0.161485139,0.511353907,-0.822537502,0.008681005,-0.099615672,0.731164603,30.26358486,-97.76807574
Onion Creek @ Twin Creeks Road (OC1),47.15,1.07E-15,373.127,7.573,9.141,2.2465,9.7,19.8,20,25.88316887,0.35206048,0.74,214.8307838,0.207422694,1.893151147,0.41503525,-31.6295296,0.192787435,6.856496319,0.210020861,18.44174994,0.015382261,-1.050688288,0.198538416,-2.740696922,0.008372179,30.12546363,-97.82225081
Onion Creek near Driftwood (Hwy 150),72.47619048,3.59E-14,18.65547619,7.620952381,8.759047619,2.135714286,5.523809524,19.4,21,27.65920904,0.458887876,0.76,-209.4597072,0.453109114,1.22809518,0.500432094,24.15468905,0.55299294,8.563528299,0.14977435,-6.119016671,0.144197449,1.131540963,0.653852744,0.986365234,0.229029137,30.08543218,-98.01336507
Rimrock Spring 67,18.4325,6.40E-14,25.21666667,7.3475,7.19,6.854166667,9.916666667,16,12,19.67414114,0.513755592,0.6,-129.5280345,0.623435078,4.920055122,0.653487432,2.771404312,0.948593402,6.231401494,0.320969928,-5.379124119,0.782939157,-1.298599277,0.465478772,-0.062406752,0.981939482,30.25856912,-97.86494292
Tributary 5 ds Hanks Tract Property Line,48.68333333,-1.61E-14,20.45266667,7.873666667,7.353666667,15.158,9.266666667,21.9,30,30.71371975,0.334597403,0.46,226.0971741,0.28720961,-0.933454427,0.435958423,-19.7366775,0.418289487,-0.722249375,0.850978054,0.754412725,0.033652977,-1.325953694,0.108210543,-0.395878458,0.583070544,30.42707537,-97.8189123
Tributary 6 @ Bull Creek (EG),49.85740741,1.16E-14,21.69907407,7.595,7.055740741,10.98333333,9.518518519,20.6,54,27.26581403,0.295036745,0.54,2.509215063,0.979947664,-0.015563223,0.986175801,3.108144878,0.799540056,-3.696725813,0.059647616,1.415340151,4.51E-05,0.094790118,0.872815665,1.580845229,0.003735517,30.42542953,-97.81464541
Upper Barton Spring,14.52863636,6.78E-15,20.32568182,7.375909091,7.08,2.252272727,9.590909091,22.9,44,24.84258634,0.11201585,0.28,39.64687042,0.199560578,0.206087253,0.707869437,-4.807918692,0.176289313,-0.950140745,0.121560927,-0.56667291,0.420036765,-0.264106393,0.232694162,0.317303471,0.141615953,30.26359446,-97.7737817
Westlake Davenport Trib 1 DS Westlake Drive,59.01764706,-2.26E-14,22.84352941,7.564705882,5.395882353,10.62352941,6.823529412,17.2,17,31.34772053,0.41833585,0.67,725.189104,0.301344222,-24.73792759,0.019835836,-13.76864341,0.867443815,2.314297135,0.910185676,0.707605069,0.26251969,0.050573412,0.987617479,-1.30453444,0.401113107,30.33336034,-97.79992053
Lake Long @ Dam (LWL3),7.536071429,1.17E-14,22.46892857,7.287857143,5.982857143,0,9.714285714,21.7,28,13.44372474,0.232840252,0.45,7.118723633,0.670384241,-0.008010267,0.955917326,0.611328944,0.761008618,-0.492227906,0.320099792,0,0,0.221461285,0.043585883,-0.33122712,0.020181625,30.28617974,-97.59724677
Lake Long mid-lake of Eastern Arm (LWL4),10.971875,2.31E-14,21.2771875,7.280625,6.288125,0,10.40625,21.1,32,15.91168189,0.348159647,0.45,22.40127581,0.639757481,-0.43181155,0.092832646,1.394700372,0.797545944,-0.592587414,0.626031564,0,0,0.067667527,0.778238146,-0.712204466,0.013521767,30.30184008,-97.60031167
Lake Long mid-lake of Western Arm (LWL5),13.775,4.06E-15,20.8625,7.241071429,6.284642857,0,11.67857143,22.3,28,22.02287124,0.32269784,0.51,0.261360278,0.99555876,-1.26740011,0.059945867,9.833213859,0.149709578,-0.20822701,0.889032465,0,0,-0.533477644,0.321597022,-1.167468314,0.019228662,30.29215313,-97.60922897
Onion @ Hudson Tract,30.14684211,-2.13E-14,17.85263158,7.615263158,7.931052632,0,7.684210526,20.8,19,24.46676668,0.081130658,0.12,110.6710025,0.600663383,0.110664458,0.97922391,-9.201211527,0.634346306,-3.515112557,0.548871355,0,0,-0.470582711,0.71528505,0.776409252,0.417577621,30.16756802,-98.22170317
